correct_rate,response_time_mean,hint_requests,topic_switch_count,session_duration,level
0.75,10.03,1,5,29.1,intermediate
0.75,6.21,2,2,23.5,intermediate
0.6,6.11,5,2,13.3,intermediate
0.9,10.24,2,1,22.2,intermediate
0.6,6.96,0,4,25.1,intermediate
0.45,22.17,1,6,25.4,beginner
0.4,13.18,6,5,14.5,beginner
0.6,5.88,2,6,25.8,intermediate
0.65,7.8,2,3,25.3,intermediate
0.4,9.37,3,3,20.3,intermediate
0.6,12.33,2,5,21.4,intermediate
0.65,8.58,2,5,20.3,intermediate
0.5,8.49,5,1,24.9,intermediate
0.6,8.57,3,2,29.6,intermediate
0.6,7.68,1,1,30.0,intermediate
0.5,18.14,9,7,14.2,beginner
0.4,10.12,7,4,20.9,intermediate
0.45,9.01,10,5,8.6,intermediate
0.5,5.95,0,1,25.5,intermediate
0.45,10.39,12,4,23.7,intermediate
0.5,4.72,2,3,30.0,intermediate
0.3,9.49,8,11,9.6,beginner
0.45,10.75,1,3,19.4,intermediate
0.65,8.11,3,1,24.1,intermediate
0.7,9.12,2,1,15.3,intermediate
0.55,3.6,3,5,24.4,intermediate
0.5,9.57,2,4,27.9,intermediate
0.55,6.65,6,6,17.4,intermediate
0.5,7.33,5,5,24.1,intermediate
0.7,7.16,1,3,18.2,intermediate
0.3,11.36,7,7,27.8,beginner
0.4,5.13,2,7,22.7,beginner
0.5,13.34,5,5,18.5,beginner
0.9,7.76,2,6,17.6,intermediate
0.8,5.13,2,3,29.2,intermediate
0.45,9.25,5,6,28.0,beginner
0.5,6.09,2,1,17.3,intermediate
0.4,14.61,14,7,16.9,beginner
0.7,12.54,1,3,20.5,intermediate
0.65,7.87,3,2,30.0,intermediate
0.8,4.84,2,4,12.7,intermediate
0.45,10.54,4,4,30.0,intermediate
0.7,6.87,2,5,22.9,intermediate
0.4,13.41,3,10,21.7,intermediate
0.7,11.46,2,5,20.7,beginner
0.65,2.42,2,5,26.7,beginner
0.85,6.4,1,6,23.2,advanced
0.9,3.58,1,5,30.0,advanced
0.6,5.3,6,7,29.9,intermediate
0.4,10.28,7,4,15.4,intermediate
0.8,7.23,1,3,30.0,advanced
0.45,5.45,10,2,20.2,intermediate
0.45,13.19,4,7,22.1,intermediate
1.0,7.73,1,4,30.0,intermediate
0.5,7.75,2,4,20.4,intermediate
0.25,7.84,4,9,27.1,beginner
0.8,4.22,2,6,29.3,advanced
0.65,11.81,4,2,22.6,intermediate
0.5,5.65,2,4,24.7,beginner
0.65,11.68,3,6,25.4,intermediate
0.55,6.88,2,4,17.8,intermediate
0.35,11.36,4,2,17.1,beginner
0.5,4.67,3,4,17.2,intermediate
0.35,9.72,6,5,20.2,intermediate
0.15,14.02,6,4,29.1,intermediate
0.6,5.25,2,4,27.1,intermediate
0.6,9.43,2,6,15.5,intermediate
0.45,10.34,1,3,20.4,intermediate
0.4,6.42,1,1,25.4,intermediate
0.45,15.17,6,6,25.5,beginner
0.65,5.4,6,4,16.9,intermediate
0.25,15.04,11,6,12.2,beginner
0.55,13.13,1,0,24.3,intermediate
0.65,12.38,2,4,28.0,intermediate
0.35,15.92,6,9,20.7,beginner
0.65,9.94,9,1,15.9,beginner
0.7,5.35,1,1,30.0,intermediate
0.6,8.91,2,7,21.6,beginner
0.75,6.93,0,2,28.0,advanced
0.65,6.55,0,7,19.3,intermediate
0.45,11.64,0,8,29.7,intermediate
0.65,15.55,2,6,28.1,intermediate
0.55,10.74,3,5,23.2,beginner
0.8,3.15,1,5,21.0,advanced
0.75,4.88,2,0,30.0,intermediate
0.8,9.1,0,6,29.8,intermediate
0.25,10.94,1,5,27.2,beginner
0.7,9.48,2,1,25.4,intermediate
0.85,5.7,2,3,24.9,intermediate
0.7,8.68,0,6,24.7,advanced
0.4,10.39,3,3,30.0,intermediate
0.7,4.73,2,3,23.1,intermediate
0.7,6.65,5,5,17.3,intermediate
0.4,7.1,6,2,19.2,intermediate
0.65,18.19,4,3,19.7,intermediate
0.55,6.76,1,5,30.0,intermediate
0.25,14.94,12,2,12.4,beginner
0.7,7.25,1,0,19.9,intermediate
0.95,3.05,0,5,30.0,advanced
0.4,12.56,10,6,27.0,beginner
0.65,13.52,5,4,27.1,intermediate
0.45,9.12,7,5,30.0,beginner
0.6,5.51,2,4,26.7,intermediate
0.6,7.74,4,6,23.5,intermediate
0.8,8.12,2,5,30.0,intermediate
0.8,13.73,3,0,16.1,intermediate
0.65,8.31,1,3,14.5,intermediate
0.25,14.88,5,3,26.5,beginner
0.8,7.17,5,5,28.4,advanced
0.65,5.24,7,5,29.9,intermediate
0.4,7.8,9,4,16.2,beginner
0.8,4.78,1,7,30.0,intermediate
0.65,4.55,2,5,28.9,intermediate
0.7,10.49,2,4,23.9,intermediate
0.45,10.2,2,4,24.0,intermediate
0.75,8.13,1,6,26.2,intermediate
0.65,2.29,3,4,21.8,advanced
0.55,15.88,3,3,22.0,intermediate
0.9,3.98,0,4,29.3,intermediate
0.8,17.98,5,2,20.7,intermediate
0.9,3.15,0,2,18.8,advanced
0.4,7.09,4,4,24.4,beginner
0.3,5.16,5,6,26.2,beginner
0.75,6.03,1,6,30.0,intermediate
0.75,4.1,1,3,29.6,advanced
0.9,3.66,0,4,30.0,advanced
0.5,5.69,6,5,28.7,intermediate
0.85,7.87,0,1,27.0,advanced
0.65,6.92,1,2,14.7,advanced
0.9,13.01,0,4,30.0,intermediate
0.55,5.95,2,3,19.1,intermediate
0.65,6.93,3,4,19.1,intermediate
0.75,5.18,1,3,17.2,intermediate
0.65,7.54,2,3,30.0,intermediate
0.7,5.9,1,6,27.7,beginner
0.55,8.78,4,5,18.3,intermediate
0.5,12.95,4,4,18.8,intermediate
0.7,9.01,2,6,26.0,advanced
0.6,7.02,3,6,25.8,intermediate
0.6,13.67,4,1,24.1,beginner
0.55,8.4,3,2,17.9,intermediate
0.4,9.91,5,4,23.1,beginner
0.45,8.96,5,8,17.2,beginner
0.75,5.79,1,4,30.0,intermediate
0.65,12.03,0,4,26.1,advanced
0.1,15.26,8,3,14.8,beginner
0.7,8.18,3,3,28.5,intermediate
0.6,6.57,3,4,27.2,intermediate
0.9,12.52,1,3,24.6,advanced
0.6,14.55,4,5,27.2,intermediate
0.35,7.83,7,4,25.8,beginner
0.35,11.75,6,4,27.1,beginner
0.4,8.13,5,6,27.5,intermediate
0.15,14.09,7,10,18.3,beginner
0.9,4.98,4,2,15.8,intermediate
0.45,11.85,3,5,23.1,beginner
0.5,11.96,0,2,27.0,intermediate
0.8,4.06,1,3,26.2,intermediate
0.75,3.29,1,1,10.2,intermediate
0.4,12.93,17,7,22.5,beginner
0.6,7.81,6,0,17.4,intermediate
0.45,17.93,4,3,27.2,intermediate
0.45,13.18,1,0,30.0,intermediate
0.3,19.08,9,7,17.9,beginner
0.35,10.91,4,4,23.2,beginner
0.6,6.31,1,2,25.4,advanced
0.55,4.54,2,1,27.7,intermediate
0.55,10.42,7,5,24.7,intermediate
0.35,8.73,5,10,21.6,intermediate
0.65,11.48,2,3,19.3,intermediate
0.8,4.71,1,4,30.0,advanced
0.45,8.13,2,2,26.1,intermediate
1.0,4.13,0,5,30.0,advanced
0.2,14.89,4,4,23.7,beginner
0.35,6.62,4,4,27.1,intermediate
0.6,12.34,1,3,17.1,intermediate
0.2,15.28,13,5,18.9,beginner
0.45,7.81,4,4,24.1,beginner
0.85,3.94,3,3,30.0,intermediate
0.8,5.83,2,2,30.0,advanced
0.8,9.34,1,4,29.5,intermediate
0.95,9.2,2,1,23.9,advanced
0.55,7.98,2,5,17.9,intermediate
0.4,18.71,6,3,17.2,intermediate
0.65,9.39,9,4,17.9,intermediate
0.3,15.75,6,5,5.0,beginner
0.7,9.4,4,4,17.2,beginner
0.45,9.25,5,7,25.5,intermediate
0.75,6.51,3,5,24.2,intermediate
0.75,3.88,1,3,22.5,intermediate
0.75,13.03,5,7,13.9,intermediate
0.5,7.37,1,4,29.1,intermediate
0.7,4.68,1,3,29.3,advanced
0.6,5.46,4,4,23.7,intermediate
0.65,7.33,1,3,10.9,intermediate
0.65,13.34,1,4,22.0,intermediate
0.7,13.78,0,0,28.2,intermediate
0.5,4.71,1,5,23.4,intermediate
0.8,5.39,0,7,27.5,advanced
0.6,5.16,5,2,28.8,intermediate
0.35,10.16,1,6,25.8,intermediate
0.6,9.54,8,3,27.2,intermediate
0.9,5.58,1,3,20.1,intermediate
0.85,6.91,1,2,18.1,intermediate
0.5,7.66,2,2,25.8,beginner
0.6,14.63,2,2,27.8,beginner
0.65,11.27,3,6,25.8,intermediate
0.4,14.32,7,4,21.8,beginner
0.6,3.14,1,5,22.1,intermediate
0.5,7.95,6,0,25.1,intermediate
0.25,26.37,8,6,22.3,beginner
0.55,11.63,3,4,27.4,advanced
0.1,5.85,7,5,30.0,beginner
0.5,8.2,3,2,17.3,intermediate
0.55,7.34,8,4,30.0,beginner
0.4,23.74,14,3,12.3,beginner
0.4,14.99,12,4,21.7,beginner
0.4,8.33,5,6,14.2,beginner
0.5,11.19,4,3,23.1,beginner
0.45,4.12,4,11,27.8,beginner
0.8,3.73,1,4,27.5,intermediate
0.8,7.72,2,4,30.0,intermediate
0.75,9.88,3,4,22.2,intermediate
0.5,4.9,4,3,10.1,intermediate
0.3,8.77,5,4,25.8,intermediate
0.9,6.09,1,2,29.6,advanced
0.6,5.66,3,3,19.7,intermediate
0.45,14.77,5,7,17.0,beginner
0.25,11.7,8,9,23.4,beginner
0.4,14.81,0,4,19.0,intermediate
0.35,8.64,4,0,24.9,intermediate
0.55,7.95,2,0,30.0,intermediate
0.65,8.7,2,8,30.0,intermediate
0.2,8.22,11,2,28.2,beginner
0.2,9.45,6,9,22.9,intermediate
0.9,5.78,3,5,27.0,intermediate
0.45,9.92,4,3,19.3,beginner
0.45,12.0,6,6,20.3,intermediate
0.15,18.18,9,5,23.9,beginner
0.85,4.94,3,4,24.0,advanced
0.4,12.02,13,7,23.1,beginner
0.8,10.99,2,4,20.0,intermediate
0.65,5.05,1,4,30.0,advanced
0.65,6.02,3,4,24.9,advanced
0.6,6.64,3,3,30.0,intermediate
0.5,11.87,5,7,16.2,intermediate
0.7,3.77,3,1,21.0,intermediate
0.55,16.12,5,5,30.0,intermediate
0.3,8.17,8,4,17.7,beginner
0.8,10.97,2,2,15.0,intermediate
0.7,5.32,2,4,19.4,intermediate
0.95,4.11,2,2,30.0,advanced
0.5,18.54,6,7,25.0,intermediate
0.45,13.0,3,8,18.2,intermediate
0.45,8.4,2,3,20.4,intermediate
0.65,10.8,2,5,27.7,intermediate
0.4,9.44,1,5,29.6,beginner
0.65,6.95,3,2,24.8,intermediate
0.75,5.71,3,3,28.2,intermediate
0.55,11.4,5,6,28.9,intermediate
0.45,8.67,7,4,30.0,intermediate
0.3,14.57,1,5,16.4,intermediate
0.6,6.66,3,3,20.6,intermediate
0.35,9.75,5,5,19.3,intermediate
0.7,9.34,1,5,29.9,intermediate
0.7,6.88,2,1,23.9,intermediate
0.9,4.97,1,4,29.1,advanced
0.45,9.54,4,1,23.1,advanced
0.4,13.68,3,6,22.1,intermediate
0.9,4.56,0,3,27.5,intermediate
0.55,8.42,2,6,29.4,intermediate
0.3,11.36,9,3,15.2,intermediate
0.7,8.72,1,8,25.0,intermediate
0.7,7.71,5,4,16.7,intermediate
0.65,12.42,3,6,27.0,intermediate
0.75,7.22,1,5,23.2,intermediate
0.5,6.79,1,3,30.0,intermediate
0.85,7.07,1,4,24.5,intermediate
0.45,6.34,5,0,19.4,beginner
0.9,3.74,0,4,25.9,intermediate
0.95,3.95,1,4,30.0,advanced
0.25,22.28,13,11,9.2,beginner
0.55,7.31,1,4,20.9,intermediate
0.65,7.85,3,9,22.9,beginner
0.8,9.96,1,6,22.0,intermediate
0.25,21.05,4,3,23.3,beginner
0.85,7.13,1,3,28.4,advanced
0.5,7.16,6,4,23.9,beginner
1.0,3.02,0,6,30.0,advanced
0.45,17.21,4,2,22.3,intermediate
0.55,9.51,2,4,15.5,intermediate
0.5,7.69,3,7,24.6,intermediate
0.6,11.21,4,7,12.7,intermediate
0.75,9.37,2,4,21.6,advanced
0.25,10.62,6,7,22.8,intermediate
0.45,9.32,1,2,30.0,intermediate
0.3,14.72,8,6,30.0,beginner
0.45,5.81,5,2,20.7,intermediate
0.5,8.13,1,4,18.7,beginner
0.55,5.4,3,5,27.2,intermediate
0.95,4.52,1,5,30.0,intermediate
0.7,6.28,1,4,30.0,intermediate
0.7,8.18,3,7,19.0,intermediate
0.6,6.81,1,5,23.6,intermediate
0.6,5.02,2,2,30.0,intermediate
0.65,8.07,4,4,29.6,intermediate
0.55,4.91,2,3,28.3,intermediate
0.9,6.14,1,3,24.9,advanced
0.3,17.74,12,6,24.1,beginner
0.25,10.29,5,4,27.2,beginner
0.55,7.15,2,3,18.8,beginner
0.7,9.56,0,5,30.0,intermediate
0.7,3.65,2,0,30.0,intermediate
0.65,7.75,0,3,21.4,intermediate
0.75,19.41,1,5,30.0,intermediate
0.85,7.65,1,3,28.9,intermediate
0.85,8.21,3,6,28.5,advanced
0.65,9.48,1,6,30.0,intermediate
0.3,20.98,4,5,20.6,intermediate
0.85,8.7,0,9,28.2,intermediate
0.6,3.65,6,1,8.4,intermediate
0.4,11.61,1,7,29.2,beginner
0.35,32.7,4,6,25.8,beginner
0.7,9.2,3,3,30.0,advanced
0.75,5.1,3,2,18.8,intermediate
0.7,8.88,3,3,29.7,intermediate
0.6,5.57,2,0,29.4,intermediate
0.8,12.14,1,3,20.2,intermediate
1.0,2.49,0,1,30.0,advanced
0.55,7.09,3,5,28.0,intermediate
0.65,4.93,4,2,15.4,intermediate
0.75,5.7,2,6,28.8,intermediate
0.9,7.32,2,1,24.6,advanced
0.55,8.58,0,2,13.7,intermediate
0.5,6.64,4,7,26.1,advanced
0.3,7.86,5,3,20.3,beginner
0.75,3.6,1,5,30.0,intermediate
0.45,6.12,3,3,23.6,intermediate
0.2,12.18,7,8,25.4,beginner
0.55,12.73,4,5,26.0,intermediate
0.65,5.06,2,3,30.0,intermediate
0.6,17.25,4,3,16.8,beginner
0.8,5.55,0,3,26.2,intermediate
0.7,6.6,0,5,24.1,intermediate
0.65,5.52,2,1,27.9,intermediate
0.65,10.93,1,7,25.8,intermediate
0.5,20.51,2,4,18.5,intermediate
0.15,6.33,7,6,18.7,intermediate
0.75,4.86,0,2,30.0,advanced
0.45,11.77,2,2,14.3,intermediate
0.45,5.54,2,3,27.1,beginner
0.9,5.22,0,0,30.0,advanced
0.9,6.57,0,6,30.0,advanced
0.45,9.79,6,3,30.0,intermediate
0.65,10.32,5,5,29.1,intermediate
0.45,19.33,3,6,24.0,beginner
1.0,7.16,0,4,28.0,advanced
0.7,6.04,3,5,28.6,intermediate
0.75,5.46,0,0,29.8,intermediate
0.35,8.8,7,1,20.4,beginner
0.8,9.26,1,1,21.2,advanced
0.65,6.12,2,3,15.0,beginner
0.35,8.88,4,4,23.5,intermediate
0.25,12.27,4,5,11.8,beginner
0.7,6.84,1,5,21.0,intermediate
0.5,9.47,3,2,8.8,beginner
0.55,14.72,2,6,30.0,advanced
0.25,11.75,7,6,27.3,intermediate
0.6,8.92,6,5,22.2,beginner
0.25,18.3,11,4,30.0,beginner
0.45,12.25,9,4,29.1,beginner
0.8,13.44,3,0,26.7,intermediate
0.55,8.89,3,4,22.9,intermediate
0.65,6.39,2,2,23.1,intermediate
0.45,5.6,2,6,25.1,intermediate
0.25,7.05,6,8,19.4,beginner
0.6,3.73,1,3,28.3,intermediate
0.55,7.17,1,3,29.8,advanced
0.4,6.58,7,3,20.2,intermediate
0.65,11.04,1,9,30.0,intermediate
0.65,6.64,1,4,24.3,intermediate
0.3,10.5,2,4,21.1,beginner
0.4,11.91,14,9,12.2,beginner
0.4,12.47,4,6,20.4,beginner
0.5,8.07,4,4,30.0,intermediate
0.75,5.37,0,3,19.1,intermediate
0.45,14.16,3,6,25.3,intermediate
0.5,11.1,4,8,19.5,intermediate
0.35,11.3,5,7,7.1,beginner
0.45,10.34,0,2,27.1,intermediate
0.65,12.75,11,5,16.7,beginner
0.8,8.25,2,4,26.8,intermediate
0.6,6.5,2,2,29.3,intermediate
0.9,9.8,1,7,29.9,advanced
0.65,6.22,1,3,26.4,intermediate
0.35,22.11,8,7,14.7,beginner
0.6,8.71,2,5,26.9,intermediate
0.35,20.09,14,10,17.4,beginner
1.0,6.93,0,4,15.4,advanced
0.55,12.72,2,4,28.4,intermediate
0.3,12.81,14,2,24.2,beginner
0.35,18.17,13,1,29.1,beginner
0.2,25.37,9,4,30.0,beginner
0.95,3.91,0,1,30.0,advanced
0.4,10.91,4,4,24.5,intermediate
0.35,8.57,1,3,28.4,intermediate
0.65,5.84,5,9,20.3,intermediate
0.8,11.48,2,0,16.0,intermediate
0.35,9.1,9,5,17.0,beginner
0.75,4.53,0,4,30.0,advanced
0.55,12.62,3,4,21.0,intermediate
0.25,14.96,9,7,23.3,intermediate
0.25,23.27,4,4,24.6,intermediate
0.65,7.18,2,3,25.0,intermediate
0.95,4.49,3,7,21.7,advanced
0.3,9.72,9,5,22.4,beginner
0.55,8.26,0,5,21.6,intermediate
0.8,3.53,2,5,30.0,intermediate
0.95,7.03,1,6,30.0,intermediate
0.3,14.06,3,5,17.8,beginner
0.45,11.16,2,2,30.0,beginner
0.7,5.07,1,5,28.8,intermediate
0.5,7.63,6,6,11.7,intermediate
0.7,8.62,2,5,25.1,intermediate
0.55,6.35,1,2,30.0,intermediate
0.55,9.4,2,4,19.2,intermediate
0.65,17.25,2,5,23.2,intermediate
0.5,15.91,2,6,14.4,intermediate
0.55,5.61,2,3,15.3,intermediate
0.7,6.32,2,3,19.4,intermediate
0.7,7.79,2,1,18.1,intermediate
0.35,11.33,5,6,17.1,beginner
0.6,4.84,5,4,30.0,intermediate
0.8,8.28,2,3,24.6,intermediate
0.55,9.45,2,3,27.3,intermediate
0.55,13.74,2,4,30.0,intermediate
0.8,6.34,2,6,18.6,intermediate
0.9,7.63,0,3,22.9,intermediate
0.75,5.48,0,0,28.0,intermediate
0.75,6.05,2,4,19.5,intermediate
0.45,9.0,1,3,29.4,intermediate
0.7,10.13,1,8,30.0,intermediate
0.6,6.28,2,4,14.5,intermediate
0.6,8.66,3,3,21.3,intermediate
0.45,4.49,4,1,23.6,intermediate
0.6,8.68,4,6,19.6,intermediate
0.5,11.52,1,5,19.7,intermediate
0.65,6.76,1,5,21.2,intermediate
1.0,4.34,1,7,28.4,advanced
0.7,4.22,2,3,27.1,advanced
0.1,8.8,9,4,27.0,intermediate
0.45,20.7,5,6,21.0,intermediate
0.4,10.23,4,7,28.8,intermediate
0.5,7.09,2,6,18.5,intermediate
0.5,7.36,2,2,16.6,intermediate
0.55,5.63,2,2,20.4,intermediate
0.15,9.0,10,4,22.7,beginner
0.4,20.93,9,4,25.0,beginner
0.3,8.22,4,5,30.0,intermediate
0.6,17.46,1,5,24.7,beginner
0.75,6.89,2,8,29.5,intermediate
0.5,7.88,5,3,30.0,intermediate
0.25,15.4,9,3,15.6,beginner
0.5,3.39,5,5,22.1,intermediate
0.55,8.12,4,1,30.0,intermediate
0.25,10.08,3,4,27.0,beginner
0.5,15.77,1,5,25.7,intermediate
0.6,11.14,5,6,29.4,intermediate
0.3,7.68,7,5,12.9,intermediate
0.55,16.9,6,8,17.4,beginner
0.8,6.39,0,2,19.1,intermediate
0.3,8.69,8,2,23.1,beginner
0.7,6.24,2,3,24.5,intermediate
0.8,6.13,2,6,26.3,advanced
0.75,9.3,1,2,25.5,advanced
0.75,9.07,4,1,14.2,intermediate
0.6,8.75,5,2,29.2,intermediate
0.75,11.19,2,4,13.3,intermediate
0.55,11.51,2,0,19.8,intermediate
0.6,9.07,2,0,17.4,intermediate
0.65,10.33,0,3,20.8,intermediate
0.6,14.05,5,6,22.2,beginner
0.5,10.44,1,5,29.6,beginner
0.45,13.96,2,7,13.6,intermediate
0.45,9.62,5,5,18.8,beginner
0.45,13.12,10,4,9.4,beginner
0.7,12.07,1,6,22.0,intermediate
0.9,6.75,0,1,30.0,advanced
0.65,8.15,2,8,28.4,intermediate
0.35,10.02,5,7,8.0,intermediate
0.7,10.35,0,4,29.5,advanced
0.6,12.11,4,3,17.0,beginner
0.75,8.11,0,4,17.5,intermediate
0.4,6.84,2,7,24.8,intermediate
0.45,10.69,4,7,26.3,beginner
0.75,7.29,3,2,24.1,intermediate
0.8,5.12,1,4,19.3,intermediate
0.75,7.13,1,5,24.8,intermediate
0.5,9.55,5,4,18.9,beginner
0.6,9.35,4,3,25.2,beginner
0.7,6.6,1,1,30.0,advanced
0.4,18.81,5,4,26.6,beginner
0.45,12.48,3,4,23.0,intermediate
0.85,5.39,1,3,30.0,intermediate
0.5,10.04,2,2,18.2,intermediate
0.8,7.14,1,3,30.0,intermediate
0.75,5.08,2,1,18.0,intermediate
0.55,15.92,7,3,7.9,beginner
0.5,8.4,2,6,30.0,intermediate
0.8,15.42,2,4,21.9,intermediate
0.6,12.09,2,8,25.5,intermediate
0.4,13.84,4,3,15.2,intermediate
0.65,9.06,3,6,30.0,intermediate
0.85,6.2,2,3,30.0,intermediate
0.25,8.29,5,9,30.0,beginner
0.4,5.96,5,5,21.8,intermediate
0.8,4.23,2,5,30.0,intermediate
0.7,6.98,0,9,24.7,intermediate
0.7,3.88,2,4,30.0,intermediate
0.4,7.06,1,5,21.0,intermediate
0.7,6.07,4,6,30.0,intermediate
0.4,8.16,5,7,20.4,intermediate
0.85,5.19,2,4,23.6,intermediate
0.85,4.55,0,3,25.0,advanced
0.5,14.01,2,4,25.5,intermediate
0.65,9.83,6,6,21.9,intermediate
0.65,6.78,4,3,26.7,intermediate
0.8,6.5,3,3,22.7,intermediate
0.45,9.22,2,3,27.4,intermediate
0.25,11.52,19,1,27.7,beginner
0.7,5.49,0,5,25.4,intermediate
0.9,7.19,2,4,30.0,advanced
0.6,6.35,2,1,30.0,intermediate
0.25,7.21,7,1,30.0,beginner
0.6,8.33,5,3,23.2,intermediate
0.5,10.31,3,1,12.2,beginner
0.3,5.74,8,6,16.7,beginner
0.85,6.05,2,4,22.6,advanced
0.65,11.45,3,2,17.8,intermediate
1.0,6.58,0,1,13.9,intermediate
0.4,23.65,10,7,27.5,intermediate
0.25,16.12,3,5,10.6,beginner
0.35,17.82,9,6,27.1,intermediate
0.3,21.72,3,3,30.0,intermediate
0.4,11.25,3,5,18.7,intermediate
0.7,8.6,3,1,26.2,advanced
0.7,10.51,4,7,22.2,intermediate
0.55,7.03,6,9,28.4,intermediate
0.5,12.0,6,4,13.7,intermediate
0.8,3.88,0,2,27.5,advanced
0.85,7.15,2,1,30.0,intermediate
1.0,3.46,0,1,28.9,advanced
0.65,5.91,1,6,14.8,intermediate
0.7,6.46,2,9,30.0,advanced
0.4,8.57,2,5,15.2,beginner
0.9,3.04,0,3,27.0,intermediate
0.7,3.94,0,5,29.2,intermediate
0.4,6.31,5,3,23.3,intermediate
0.55,5.67,2,3,30.0,intermediate
0.75,6.03,0,8,30.0,advanced
0.65,8.35,6,5,23.1,advanced
0.8,10.7,5,4,28.3,intermediate
0.85,6.99,0,7,28.7,intermediate
0.7,10.41,1,6,25.2,intermediate
0.7,7.65,2,5,27.7,intermediate
0.35,11.83,6,1,18.7,beginner
0.5,16.9,9,4,22.2,beginner
0.7,10.32,2,4,21.5,intermediate
0.6,10.53,2,7,11.4,intermediate
0.75,10.41,0,3,30.0,advanced
0.9,2.82,0,3,22.5,intermediate
0.95,4.01,3,5,29.9,advanced
0.55,8.55,3,5,18.0,intermediate
0.8,10.11,2,4,21.1,intermediate
0.25,19.98,7,7,14.6,beginner
0.75,4.54,5,3,30.0,intermediate
0.8,12.1,1,4,30.0,intermediate
0.8,3.14,0,6,28.6,advanced
0.45,5.29,2,5,20.9,intermediate
0.7,8.17,5,1,13.0,beginner
0.55,6.78,3,3,29.2,intermediate
0.5,5.9,5,3,17.9,beginner
0.6,16.49,11,8,13.0,beginner
0.85,6.96,0,4,27.4,intermediate
0.7,10.66,3,1,22.7,intermediate
0.7,6.07,0,6,16.0,intermediate
0.55,7.37,3,3,16.3,advanced
0.45,9.14,3,3,24.8,intermediate
0.75,11.63,3,0,21.9,intermediate
0.35,4.0,4,3,24.5,beginner
0.45,8.0,6,1,22.0,intermediate
0.6,6.68,1,4,30.0,intermediate
0.8,4.24,0,8,21.2,advanced
0.5,8.1,5,2,24.5,beginner
0.6,7.77,2,2,27.7,intermediate
0.65,6.13,4,3,20.5,intermediate
0.5,9.45,2,3,29.5,beginner
0.6,11.66,2,6,12.7,intermediate
0.5,6.17,2,6,20.5,advanced
0.6,7.07,5,4,13.5,intermediate
0.75,6.53,2,3,20.8,intermediate
0.4,10.07,7,4,21.1,intermediate
0.3,5.83,7,5,26.5,intermediate
0.75,8.14,1,3,24.3,intermediate
0.7,7.59,0,9,19.5,intermediate
0.55,13.32,0,4,14.1,intermediate
0.3,13.62,8,3,13.9,intermediate
0.55,13.57,3,1,24.8,intermediate
0.75,3.96,4,5,30.0,advanced
0.4,8.47,3,3,19.9,beginner
0.35,8.41,8,7,27.1,beginner
0.65,4.68,0,2,20.8,intermediate
0.5,13.98,2,4,20.6,intermediate
0.6,15.17,2,4,21.1,intermediate
0.95,2.88,1,4,30.0,advanced
0.6,6.57,8,3,25.1,intermediate
0.55,8.58,2,7,12.4,intermediate
0.25,14.32,9,3,26.5,beginner
0.75,3.41,0,2,30.0,intermediate
0.9,2.49,1,6,27.7,advanced
0.55,10.95,2,3,17.4,intermediate
